cve_id,published,last_modified,vuln_status,cwe_id,nvd_extracted_at_utc,cvss_version,cvss_source,base_score,severity,attack_vector,attack_complexity,privileges_required,user_interaction,confidentiality_impact,integrity_impact,availability_impact,vendor_project,product,vulnerability_name,date_added,short_description,required_action,due_date,known_ransomware_campaign_use,notes,kev_extracted_at_utc,in_kev,days_to_kev
CVE-2024-21696,2025-01-01 00:15:36.777000+00:00,2025-01-01 00:15:36.777000+00:00,Rejected,,2026-09-10T23:40:04.178604Z,,,,,,,,,,,,,,,,,,,,,,0,
CVE-2024-21709,2025-01-01 00:15:37.207000+00:00,2025-01-01 00:15:37.207000+00:00,Rejected,,2026-09-10T23:40:04.178604Z,,,,,,,,,,,,,,,,,,,,,,0,
CVE-2024-21714,2025-01-01 00:15:37.527000+00:00,2025-01-01 00:15:37.527000+00:00,Rejected,,2026-09-10T23:40:04.178604Z,,,,,,,,,,,,,,,,,,,,,,0,
CVE-2024-23393,2025-01-01 00:15:38.290000+00:00,2025-01-01 00:15:38.290000+00:00,Rejected,,2026-09-10T23:40:04.178604Z,,,,,,,,,,,,,,,,,,,,,,0,
CVE-2024-23395,2025-01-01 00:15:38.420000+00:00,2025-01-01 00:15:38.420000+00:00,Rejected,,2026-09-10T23:40:04.178604Z,,,,,,,,,,,,,,,,,,,,,,0,
CVE-2024-23409,2025-01-01 00:15:39.353000+00:00,2025-01-01 00:15:39.353000+00:00,Rejected,,2026-09-10T23:40:04.178604Z,,,,,,,,,,,,,,,,,,,,,,0,
CVE-2024-23412,2025-01-01 00:15:39.533000+00:00,2025-01-01 00:15:39.533000+00:00,Rejected,,2026-09-10T23:40:04.178604Z,,,,,,,,,,,,,,,,,,,,,,0,
CVE-2024-23421,2025-01-01 00:15:40.100000+00:00,2025-01-01 00:15:40.100000+00:00,Rejected,,2026-09-10T23:40:04.178604Z,,,,,,,,,,,,,,,,,,,,,,0,
CVE-2024-23432,2025-01-01 00:15:40.793000+00:00,2025-01-01 00:15:40.793000+00:00,Rejected,,2026-09-10T23:40:04.178604Z,,,,,,,,,,,,,,,,,,,,,,0,
CVE-2024-56027,2025-01-02 10:15:07.060000+00:00,2026-06-17 08:11:36.857000+00:00,Deferred,CWE-79,2026-09-10T23:40:04.178604Z,3.1,audit@patchstack.com,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,LOW,LOW,LOW,,,,,,,,,,,0,
CVE-2024-56032,2025-01-02 10:15:07.663000+00:00,2026-06-17 08:11:37.370000+00:00,Deferred,CWE-79,2026-09-10T23:40:04.178604Z,3.1,audit@patchstack.com,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,LOW,LOW,LOW,,,,,,,,,,,0,
CVE-2024-56034,2025-01-02 10:15:07.947000+00:00,2026-06-17 08:11:37.570000+00:00,Deferred,CWE-79,2026-09-10T23:40:04.178604Z,3.1,audit@patchstack.com,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,LOW,LOW,LOW,,,,,,,,,,,0,
CVE-2024-56035,2025-01-02 10:15:08.080000+00:00,2026-06-17 08:11:37.670000+00:00,Deferred,CWE-79,2026-09-10T23:40:04.178604Z,3.1,audit@patchstack.com,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,LOW,LOW,LOW,,,,,,,,,,,0,
CVE-2023-45275,2025-01-02 12:15:09.253000+00:00,2026-06-17 06:28:33.773000+00:00,Deferred,CWE-862,2026-09-10T23:40:04.178604Z,3.1,audit@patchstack.com,6.5,MEDIUM,NETWORK,LOW,LOW,NONE,HIGH,NONE,NONE,,,,,,,,,,,0,
CVE-2023-46203,2025-01-02 12:15:11.560000+00:00,2026-06-17 06:30:20.990000+00:00,Deferred,CWE-862,2026-09-10T23:40:04.178604Z,3.1,audit@patchstack.com,4.3,MEDIUM,NETWORK,LOW,LOW,NONE,NONE,LOW,NONE,,,,,,,,,,,0,
CVE-2023-46632,2025-01-02 12:15:13.643000+00:00,2026-06-17 06:31:15.047000+00:00,Deferred,CWE-862,2026-09-10T23:40:04.178604Z,3.1,audit@patchstack.com,7.1,HIGH,NETWORK,LOW,LOW,NONE,NONE,LOW,HIGH,,,,,,,,,,,0,
CVE-2024-37104,2025-01-02 12:15:17.733000+00:00,2026-06-17 07:37:45.957000+00:00,Modified,CWE-352,2026-09-10T23:40:04.178604Z,3.1,audit@patchstack.com,4.3,MEDIUM,NETWORK,LOW,NONE,REQUIRED,NONE,LOW,NONE,,,,,,,,,,,0,
